sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (m);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-7.8885;-0.4394;7.6237;-6.4984;1.6614;7.1541;-1.4307;-2.2173;0.2332;0.3466;0.2869;-0.0046;3751.3647;-19.49;-14.76;-43.65;102.08;-9.72;41.53;5.0;55.278;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;25509;2018-08-03 08:45:48:158
-5.4943;4.0233;7.7219;-6.568;2.8692;6.6933;1.5536;1.2337;-2.5226;1.5685;0.5553;-0.1026;2120.6748;-19.24;-13.51;-43.53;100.19;-15.28;43.34;5.0;53.693;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;26010;2018-08-03 08:45:48:659
-7.1319;5.1343;4.1976;-6.7895;4.2447;5.6617;0.1986;0.8969;-2.2913;0.3765;-0.1371;1.0458;1695.5028;-15.45;-21.55;-41.06;108.65;-24.81;50.55;0.0;55.06;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;26509;2018-08-03 08:45:49:158
-2.9875;7.1454;2.6725;-4.1259;7.9302;4.0323;1.0506;-0.989;-1.5719;0.3882;-0.4918;1.1321;2223.079;-28.84;-18.78;-38.23;100.4;-49.31;48.35;0.0;55.318;12.93214;77.68374;;880.2192993;;23.944;;0 / 0;27009;2018-08-03 08:45:49:658
-0.7538;9.882;2.7587;-1.6313;9.1266;3.1961;0.8998;0.7774;-0.4594;0.0281;0.0419;0.0029;2247.708;-39.5;-18.93;-28.77;88.81;-68.23;26.93;5.0;59.816;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;27509;2018-08-03 08:45:50:158
0.5271;8.4718;2.6509;-0.6925;8.9951;3.8443;1.0638;-0.5326;-0.2129;-0.4704;0.1718;0.2426;3317.1191;-38.1;-9.77;-33.31;65.49;-66.9;10.94;5.0;58.366;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;28009;2018-08-03 08:45:50:658
-0.907;7.3369;4.3724;-0.7035;8.5265;4.7931;-0.1948;-1.0925;-0.3599;-0.154;-0.3342;-0.469;5011.467;-41.02;-10.37;-29.72;69.49;-61.11;7.32;5.0;58.51;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;28509;2018-08-03 08:45:51:158
-0.6197;7.5907;3.2112;-1.2605;8.0738;5.4218;0.8127;-0.2337;-0.778;-0.3298;-0.0348;0.3182;5696.3057;-39.62;-5.31;-36.04;68.72;-55.53;13.39;5.0;53.825;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;29010;2018-08-03 08:45:51:659
0.2327;6.8653;4.2599;-0.667;7.4032;6.3968;0.7609;-0.519;-2.021;-6.0E-4;-0.3235;-0.4115;6313.6724;-43.07;-5.84;-27.34;74.09;-49.03;5.93;5.0;52.136;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;29509;2018-08-03 08:45:52:158
-1.5654;5.3785;4.0779;-1.9551;5.1492;8.1138;0.548;0.5321;-4.2041;1.7453;-1.1342;0.4812;8400.237;-39.9;-1.68;-35.87;76.05;-31.67;13.55;5.0;53.562;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;30009;2018-08-03 08:45:52:658
-0.0594;4.8278;6.9294;-0.0808;5.1718;8.3317;0.0046;-0.3053;-1.3813;0.5618;-0.7027;-0.5958;8486.264;-43.83;0.04;-23.4;75.34;-31.21;0.8;5.0;56.451;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;30512;2018-08-03 08:45:53:161
-1.6612;5.5125;8.8352;-0.526;6.1204;7.6443;-1.0947;-0.6028;1.1722;-0.2872;0.746;0.4365;6651.0312;-44.1;-4.66;-23.54;78.27;-38.91;3.57;5.0;57.196;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;31010;2018-08-03 08:45:53:659
2.0906;6.6187;10.3196;0.4367;6.4725;7.3543;1.5385;0.0959;2.792;-0.0092;-0.2884;-0.4051;6656.092;-45.81;1.39;-24.58;66.23;-41.47;-2.95;5.0;59.2;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;31509;2018-08-03 08:45:54:158
1.9756;7.064;8.8926;1.6177;7.1287;6.5372;0.4861;0.0642;2.4088;-1.3311;0.9143;0.3651;6484.0386;-48.44;-1.51;-11.89;70.5;-46.63;-13.9;5.0;54.046;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;32009;2018-08-03 08:45:54:658
2.0259;6.6689;8.5287;0.5919;5.5886;8.0366;1.6963;1.7486;-0.1404;-0.2329;-0.3523;-0.241;7560.2134;-44.71;6.4;-20.67;65.66;-34.73;-3.96;5.0;55.108;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;32509;2018-08-03 08:45:55:158
-0.4832;5.965;9.1081;0.013;5.5531;8.0829;-0.4459;0.4853;1.1111;-0.2158;0.4616;0.0402;7548.4062;-45.05;2.17;-20.6;73.19;-34.49;-0.09;5.0;55.48;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;33009;2018-08-03 08:45:55:658
0.7498;6.5421;8.16;0.7299;5.9063;7.7944;0.0262;0.6868;0.4807;-0.1018;-0.2479;0.0689;7430.3306;-45.16;8.14;-21.45;63.65;-37.06;-4.92;5.0;53.646;12.932151;77.68369;801.2;880.2192993;;24.147;;0 / 0;33510;2018-08-03 08:45:56:159
